,ID,Year,First Name,Middle Name,Last Name,party,Level,Position,state,race_ethnicity,state_name,ideology,leadership,district,Full Name,Link,User_name
79,541030k,2022,Susie,,Lee,Democrat,Congress,U.S. Representative,NV,White,Nevada,0.4059182290018691,0.614197887847273,3.0,Susie Lee,https://twitter.com/RepSusieLee ," '@RepSusieLee',"
80,453352k,2022,Teresa,,Leger Fernandez,Democrat,Congress,U.S. Representative,NM,Latina,New Mexico,,,3.0,Teresa Leger Fernandez,https://twitter.com/repteresalf ," '@repteresalf',"
81,267627k,2022,Debbie,,Lesko,Republican,Congress,U.S. Representative,AZ,White,Arizona,0.9138081496215684,0.4956628515980904,8.0,Debbie Lesko,https://twitter.com/RepDLesko ," '@RepDLesko',"
82,768497k,2022,Julia,,Letlow,Republican,Congress,U.S. Representative,LA,White,Louisiana,,,5.0,Julia Letlow,https://twitter.com/repjulialetlow ," '@repjulialetlow',"
83,158733k,2022,Zoe,,Lofgren,Democrat,Congress,U.S. Representative,CA,White,California,0.2585416530291419,0.837890122216801,19.0,Zoe Lofgren,https://twitter.com/RepZoeLofgren ," '@RepZoeLofgren',"
84,644669k,2022,Elaine,G.,Luria,Democrat,Congress,U.S. Representative,VA,White,Virginia,0.4361242659623956,0.56109505673992,2.0,Elaine G. Luria,https://twitter.com/repelaineluria?lang=en ," '@repelaineluria',"
85,466143k,2022,Nancy,,Mace,Republican,Congress,U.S. Representative,SC,White,South Carolina,,,1.0,Nancy Mace,https://twitter.com/NancyMace ," '@NancyMace',"
86,309650k,2022,Nicole,,Malliotakis,Republican,Congress,U.S. Representative,NY,"White, Latina",New York,,,11.0,Nicole Malliotakis,https://twitter.com/NMalliotakis ," '@NMalliotakis',"
87,158983k,2022,Carolyn,B.,Maloney,Democrat,Congress,U.S. Representative,NY,White,New York,0.1690516530958587,0.984014366468234,12.0,Carolyn B. Maloney,https://twitter.com/RepMaloney ," '@RepMaloney',"
88,646745k,2022,Kathy,,Manning,Democrat,Congress,U.S. Representative,NC,White,North Carolina,,,6.0,Kathy Manning,https://twitter.com/repkmanning?lang=en ," '@repkmanning',"
89,232639k,2022,Doris,O.,Matsui,Democrat,Congress,U.S. Representative,CA,Asian American/Pacific Islander,California,0.2539109751311956,0.7159275693844744,6.0,Doris O. Matsui,https://twitter.com/DorisMatsui ," '@DorisMatsui',"
90,658185k,2022,Lucy,,McBath,Democrat,Congress,U.S. Representative,GA,Black,Georgia,0.374649314143192,0.5263780826022951,6.0,Lucy McBath,https://twitter.com/RepLucyMcBath ," '@RepLucyMcBath',"
91,721727k,2022,Lisa,,McClain,Republican,Congress,U.S. Representative,MI,White,Michigan,,,1.0,Lisa McClain,https://twitter.com/RepLisaMcClain ," '@RepLisaMcClain',"
92,195933k,2022,Betty,,McCollum,Democrat,Congress,U.S. Representative,MN,White,Minnesota,0.2191424404652585,0.642126300868078,4.0,Betty McCollum,https://twitter.com/BettyMcCollum04 ," '@BettyMcCollum04',"
93,199779k,2022,Cathy,,McMorris Rodgers,Republican,Congress,U.S. Representative,WA,White,Washington,,,5.0,Cathy McMorris Rodgers,https://twitter.com/cathymcmorris ," '@cathymcmorris',"
94,271828k,2022,Grace,,Meng,Democrat,Congress,U.S. Representative,NY,Asian American/Pacific Islander,New York,0.2043063753882449,0.8724694850851853,6.0,Grace Meng,https://twitter.com/RepGraceMeng ," '@RepGraceMeng',"
95,249553k,2022,Carol,D.,Miller,Republican,Congress,U.S. Representative,WV,White,West Virginia,0.6988155677267726,0.2361891519198109,3.0,Carol D. Miller,https://twitter.com/RepCarolMiller ," '@RepCarolMiller',"
96,721413k,2022,Mary,,Miller,Republican,Congress,U.S. Representative,IL,White,Illinois,,,15.0,Mary Miller,https://twitter.com/RepMaryMiller ," '@RepMaryMiller',"
97,267080k,2022,Mariannette,,Miller-Meeks,Republican,Congress,U.S. Representative,IA,White,Iowa,,,2.0,Mariannette Miller-Meeks,https://twitter.com/millermeeks ," '@millermeeks',"
98,199871k,2022,Gwen,S.,Moore,Democrat,Congress,U.S. Representative,WI,Black,Wisconsin,0.1261183360505661,0.6750593833915978,4.0,Gwen S. Moore,https://twitter.com/RepGwenMoore ," '@RepGwenMoore',"
99,588810k,2022,Stephanie,,Murphy,Democrat,Congress,U.S. Representative,FL,Asian American/Pacific Islander,Florida,0.4581270554842777,0.3674674538458982,7.0,Stephanie Murphy,https://twitter.com/RepStephMurphy ," '@RepStephMurphy',"
100,158751k,2022,Grace,F.,Napolitano,Democrat,Congress,U.S. Representative,CA,Latina,California,0.1696806314441732,0.682978193162124,32.0,Grace F. Napolitano,https://twitter.com/gracenapolitano ," '@gracenapolitano',"
101,619144k,2022,Marie,,Newman,Democrat,Congress,U.S. Representative,IL,White,Illinois,,,3.0,Marie Newman,https://twitter.com/repmarienewman?lang=en ," '@repmarienewman',"
102,624858k,2022,Alexandria,,Ocasio-Cortez,Democrat,Congress,U.S. Representative,NY,Latina,New York,0.0875001042786098,0.4781411801886578,14.0,Alexandria Ocasio-Cortez,https://twitter.com/repaoc?lang=en ," '@repaoc',"
103,624858k,2022,Alexandria,,Ocasio-Cortez,Democrat,Congress,U.S. Representative,NY,Latina,New York,0.0875001042786098,0.4781411801886578,14.0,Alexandria Ocasio-Cortez,https://twitter.com/AOC ," '@AOC',"
104,583510k,2022,Ilhan,,Omar,Democrat,Congress,U.S. Representative,MN,Black,Minnesota,0.1006704953922731,0.5679097728509597,5.0,Ilhan Omar,https://twitter.com/IlhanMN ," '@IlhanMN',"
105,583510k,2022,Ilhan,,Omar,Democrat,Congress,U.S. Representative,MN,Black,Minnesota,0.1006704953922731,0.5679097728509597,5.0,Ilhan Omar,https://twitter.com/ilhan?lang=en ," '@ilhan',"
106,625330k,2022,Elizabeth,,Pannill Fletcher,Democrat,Congress,U.S. Representative,TX,White,Texas,,,7.0,Elizabeth Pannill Fletcher,https://twitter.com/RepFletcher ," '@RepFletcher',"
107,158725k,2022,Nancy,,Pelosi,Democrat,Congress,U.S. Representative,CA,White,California,0.3606229275088625,0.0063638156681798,12.0,Nancy Pelosi,https://twitter.com/SpeakerPelosi ," '@SpeakerPelosi',"
108,267137k,2022,Chellie,M.,Pingree,Democrat,Congress,U.S. Representative,ME,White,Maine,0.2570849363210468,0.4722224001015503,1.0,Chellie M. Pingree,https://twitter.com/chelliepingree ," '@chelliepingree',"
109,621002k,2022,Katherine,,Porter,Democrat,Congress,U.S. Representative,CA,White,California,0.2383388795088096,0.6309244782567454,45.0,Katherine Porter,https://twitter.com/RepKatiePorter ," '@RepKatiePorter',"
110,234321k,2022,Ayanna,,Pressley,Democrat,Congress,U.S. Representative,MA,Black,Massachusetts,0.0545041958960496,0.7498002127463071,7.0,Ayanna Pressley,https://twitter.com/reppressley?lang=en ," '@reppressley',"
111,489426k,2022,Kathleen,M.,Rice,Democrat,Congress,U.S. Representative,NY,White,New York,0.4192101222961495,0.7418088314976777,4.0,Kathleen M. Rice,https://twitter.com/RepKathleenRice ," '@RepKathleenRice',"
